ano_campeonato,rodada,time_mandante,time_visitante,gols_mandante,gols_visitante
2025,1,BAH,COR,1,1
2025,1,CRU,MIR,2,1
2025,1,FLA,INT,1,1
2025,1,FOR,FLU,2,0
2025,1,GRE,CAM,2,1
2025,1,JUV,VIT,2,0
2025,1,PAL,BOT,0,0
2025,1,RBB,CEA,2,2
2025,1,SAO,SPT,0,0
2025,1,VAS,SAN,2,1
2025,2,BOT,JUV,2,0
2025,2,CAM,SAO,0,0
2025,2,CEA,GRE,2,0
2025,2,COR,VAS,3,0
2025,2,FLU,RBB,2,1
2025,2,INT,CRU,3,0
2025,2,MIR,FOR,1,1
2025,2,SAN,BAH,2,2
2025,2,SPT,PAL,1,2
2025,2,VIT,FLA,1,2
2025,3,BAH,MIR,1,1
2025,3,CAM,VIT,2,2
2025,3,FLU,SAN,1,0
2025,3,FOR,INT,0,0
2025,3,GRE,FLA,0,2
2025,3,JUV,CEA,2,1
2025,3,PAL,COR,2,0
2025,3,RBB,BOT,1,0
2025,3,SAO,CRU,1,1
2025,3,VAS,SPT,3,1
2025,4,BOT,SAO,2,2
2025,4,CEA,VAS,2,1
2025,4,COR,FLU,0,2
2025,4,CRU,BAH,3,0
2025,4,FLA,JUV,6,0
2025,4,INT,PAL,0,1
2025,4,MIR,GRE,4,1
2025,4,SAN,CAM,2,0
2025,4,SPT,RBB,0,1
2025,4,VIT,FOR,2,1
2025,5,BAH,CEA,1,0
2025,5,CAM,BOT,1,0
2025,5,COR,SPT,2,1
2025,5,FLU,VIT,1,1
2025,5,FOR,PAL,1,2
2025,5,GRE,INT,1,1
2025,5,JUV,MIR,2,2
2025,5,RBB,CRU,1,0
2025,5,SAO,SAN,2,1
2025,5,VAS,FLA,0,0
2025,6,BOT,FLU,2,0
2025,6,CEA,SAO,1,1
2025,6,CRU,VAS,1,0
2025,6,FLA,COR,4,0
2025,6,INT,JUV,3,1
2025,6,MIR,CAM,2,2
2025,6,PAL,BAH,0,1
2025,6,SAN,RBB,1,2
2025,6,SPT,FOR,0,0
2025,6,VIT,GRE,1,1
2025,7,BAH,BOT,1,0
2025,7,CEA,VIT,1,0
2025,7,COR,INT,4,2
2025,7,CRU,FLA,2,1
2025,7,FLU,SPT,2,1
2025,7,GRE,SAN,1,0
2025,7,JUV,CAM,0,1
2025,7,RBB,MIR,1,0
2025,7,SAO,FOR,0,0
2025,7,VAS,PAL,0,1
2025,8,BOT,INT,4,0
2025,8,CAM,FLU,3,2
2025,8,FLA,BAH,1,0
2025,8,FOR,JUV,5,0
2025,8,GRE,RBB,1,1
2025,8,MIR,COR,2,1
2025,8,PAL,SAO,1,0
2025,8,SAN,CEA,0,0
2025,8,SPT,CRU,0,4
2025,8,VIT,VAS,2,1
2025,9,BAH,VIT,2,1
2025,9,CEA,SPT,2,0
2025,9,COR,SAN,1,0
2025,9,CRU,CAM,0,0
2025,9,FLA,BOT,0,0
2025,9,INT,MIR,1,1
2025,9,JUV,FLU,1,1
2025,9,RBB,PAL,1,2
2025,9,SAO,GRE,2,1
2025,9,VAS,FOR,3,0
2025,10,BOT,CEA,3,2
2025,10,CAM,COR,0,0
2025,10,FLU,VAS,2,1
2025,10,FOR,CRU,0,2
2025,10,GRE,BAH,1,0
2025,10,PAL,FLA,0,2
2025,10,RBB,JUV,1,0
2025,10,SAO,MIR,0,2
2025,10,SPT,INT,1,1
2025,10,VIT,SAN,0,1
2025,11,BAH,SAO,2,1
2025,11,CEA,CAM,0,1
2025,11,COR,VIT,0,0
2025,11,CRU,PAL,2,1
2025,11,FLA,FOR,5,0
2025,11,INT,FLU,0,2
2025,11,JUV,GRE,0,2
2025,11,MIR,SPT,1,0
2025,11,SAN,BOT,0,1
2025,11,VAS,RBB,0,2
2025,12,BOT,MIR,3,3
2025,12,CAM,INT,2,0
2025,12,FLU,CEA,1,0
2025,12,FOR,SAN,2,3
2025,12,GRE,COR,1,1
2025,12,PAL,JUV,4,1
2025,12,RBB,BAH,0,3
2025,12,SAO,VAS,1,3
2025,12,SPT,FLA,1,5
2025,12,VIT,CRU,0,0
2025,13,BAH,CAM,2,1
2025,13,COR,RBB,1,2
2025,13,CRU,GRE,4,1
2025,13,FLA,SAO,2,0
2025,13,FOR,CEA,0,1
2025,13,INT,VIT,1,0
2025,13,JUV,SPT,2,0
2025,13,MIR,FLU,2,1
2025,13,SAN,PAL,1,0
2025,13,VAS,BOT,0,2
2025,14,BAH,INT,1,0
2025,14,BOT,VIT,0,0
2025,14,CAM,SPT,3,1
2025,14,CEA,COR,0,1
2025,14,FLU,CRU,0,2
2025,14,GRE,FOR,2,1
2025,14,JUV,VAS,2,0
2025,14,PAL,MIR,1,1
2025,14,RBB,SAO,2,2
2025,14,SAN,FLA,1,0
2025,15,CRU,JUV,4,0
2025,15,FLA,FLU,1,0
2025,15,FOR,BAH,1,1
2025,15,INT,CEA,1,0
2025,15,MIR,SAN,3,0
2025,15,PAL,CAM,3,2
2025,15,SAO,COR,2,0
2025,15,SPT,BOT,0,1
2025,15,VAS,GRE,1,1
2025,15,VIT,RBB,1,0
2025,16,CAM,FOR,3,3
2025,16,CEA,MIR,0,2
2025,16,COR,CRU,0,0
2025,16,FLU,PAL,1,2
2025,16,GRE,BOT,1,1
2025,16,JUV,SAO,0,1
2025,16,RBB,FLA,1,2
2025,16,SAN,INT,1,2
2025,16,VAS,BAH,3,1
2025,16,VIT,SPT,2,2
2025,17,BAH,JUV,3,0
2025,17,BOT,COR,1,1
2025,17,CRU,CEA,1,2
2025,17,FLA,CAM,1,0
2025,17,FOR,RBB,3,1
2025,17,INT,VAS,1,1
2025,17,MIR,VIT,1,1
2025,17,PAL,GRE,1,0
2025,17,SAO,FLU,3,1
2025,17,SPT,SAN,2,2
2025,18,BOT,CRU,0,2
2025,18,CAM,RBB,2,1
2025,18,CEA,FLA,1,1
2025,18,COR,FOR,1,1
2025,18,FLU,GRE,1,0
2025,18,INT,SAO,1,2
2025,18,MIR,VAS,3,2
2025,18,SAN,JUV,3,1
2025,18,SPT,BAH,0,0
2025,18,VIT,PAL,2,2
2025,19,BAH,FLU,3,3
2025,19,CRU,SAN,1,2
2025,19,FLA,MIR,2,1
2025,19,FOR,BOT,0,5
2025,19,GRE,SPT,0,1
2025,19,JUV,COR,2,1
2025,19,PAL,CEA,2,1
2025,19,RBB,INT,1,3
2025,19,SAO,VIT,2,0
2025,19,VAS,CAM,1,1
2025,20,BOT,PAL,0,1
2025,20,CAM,GRE,1,3
2025,20,CEA,RBB,1,0
2025,20,COR,BAH,1,2
2025,20,FLU,FOR,2,1
2025,20,INT,FLA,1,3
2025,20,MIR,CRU,1,1
2025,20,SAN,VAS,0,6
2025,20,SPT,SAO,2,2
2025,20,VIT,JUV,2,2
2025,21,BAH,SAN,2,0
2025,21,CRU,INT,2,1
2025,21,FLA,VIT,8,0
2025,21,FOR,MIR,0,1
2025,21,GRE,CEA,0,0
2025,21,JUV,BOT,1,3
2025,21,PAL,SPT,3,0
2025,21,RBB,FLU,4,2
2025,21,SAO,CAM,2,0
2025,21,VAS,COR,2,3
2025,22,BOT,RBB,4,1
2025,22,CEA,JUV,0,1
2025,22,COR,PAL,1,1
2025,22,CRU,SAO,1,0
2025,22,FLA,GRE,1,1
2025,22,INT,FOR,2,1
2025,22,MIR,BAH,5,1
2025,22,SAN,FLU,0,0
2025,22,SPT,VAS,2,3
2025,22,VIT,CAM,1,0
2025,23,BAH,CRU,1,2
2025,23,CAM,SAN,1,1
2025,23,FLU,COR,0,1
2025,23,FOR,VIT,2,0
2025,23,GRE,MIR,0,1
2025,23,JUV,FLA,0,2
2025,23,PAL,INT,4,1
2025,23,RBB,SPT,1,1
2025,23,SAO,BOT,1,0
2025,23,VAS,CEA,2,2
2025,24,BOT,CAM,1,0
2025,24,CEA,BAH,1,1
2025,24,CRU,RBB,2,1
2025,24,FLA,VAS,1,1
2025,24,INT,GRE,2,3
2025,24,MIR,JUV,2,0
2025,24,PAL,FOR,4,1
2025,24,SAN,SAO,1,0
2025,24,SPT,COR,1,0
2025,24,VIT,FLU,0,1
2025,25,BAH,PAL,1,0
2025,25,CAM,MIR,1,0
2025,25,COR,FLA,1,2
2025,25,FLU,BOT,2,0
2025,25,FOR,SPT,1,0
2025,25,GRE,VIT,3,1
2025,25,JUV,INT,1,1
2025,25,RBB,SAN,2,2
2025,25,SAO,CEA,0,1
2025,25,VAS,CRU,2,0
2025,26,BOT,BAH,2,1
2025,26,CAM,JUV,0,0
2025,26,FLA,CRU,0,0
2025,26,FOR,SAO,0,2
2025,26,INT,COR,1,1
2025,26,MIR,RBB,1,1
2025,26,PAL,VAS,3,0
2025,26,SAN,GRE,1,1
2025,26,SPT,FLU,2,2
2025,26,VIT,CEA,1,0
2025,27,BAH,FLA,1,0
2025,27,CEA,SAN,3,0
2025,27,COR,MIR,3,0
2025,27,CRU,SPT,1,1
2025,27,FLU,CAM,3,0
2025,27,INT,BOT,2,0
2025,27,JUV,FOR,1,2
2025,27,RBB,GRE,1,0
2025,27,SAO,PAL,2,3
2025,27,VAS,VIT,4,3
2025,28,BOT,FLA,0,3
2025,28,CAM,CRU,1,1
2025,28,FLU,JUV,1,0
2025,28,FOR,VAS,0,2
2025,28,GRE,SAO,2,0
2025,28,MIR,INT,3,1
2025,28,PAL,RBB,5,1
2025,28,SAN,COR,3,1
2025,28,SPT,CEA,1,1
2025,28,VIT,BAH,2,1
2025,29,BAH,GRE,4,0
2025,29,CEA,BOT,0,2
2025,29,COR,CAM,1,0
2025,29,CRU,FOR,1,0
2025,29,FLA,PAL,3,2
2025,29,INT,SPT,2,0
2025,29,JUV,RBB,1,0
2025,29,MIR,SAO,3,0
2025,29,SAN,VIT,0,1
2025,29,VAS,FLU,2,0
2025,30,BOT,SAN,2,2
2025,30,CAM,CEA,1,0
2025,30,FLU,INT,1,0
2025,30,FOR,FLA,1,0
2025,30,GRE,JUV,3,1
2025,30,PAL,CRU,0,0
2025,30,RBB,VAS,0,3
2025,30,SAO,BAH,2,0
2025,30,SPT,MIR,1,2
2025,30,VIT,COR,0,1
2025,31,BAH,RBB,2,1
2025,31,CEA,FLU,2,0
2025,31,COR,GRE,2,0
2025,31,CRU,VIT,3,1
2025,31,FLA,SPT,3,0
2025,31,INT,CAM,0,0
2025,31,JUV,PAL,0,2
2025,31,MIR,BOT,0,0
2025,31,SAN,FOR,1,1
2025,31,VAS,SAO,0,2
2025,32,BOT,VAS,3,0
2025,32,CAM,BAH,3,0
2025,32,CEA,FOR,1,1
2025,32,FLU,MIR,1,0
2025,32,GRE,CRU,0,1
2025,32,PAL,SAN,2,0
2025,32,RBB,COR,2,1
2025,32,SAO,FLA,2,2
2025,32,SPT,JUV,0,2
2025,32,VIT,INT,1,0
2025,33,COR,CEA,0,1
2025,33,CRU,FLU,0,0
2025,33,FLA,SAN,3,2
2025,33,FOR,GRE,2,2
2025,33,INT,BAH,2,2
2025,33,MIR,PAL,2,1
2025,33,SAO,RBB,0,1
2025,33,SPT,CAM,2,4
2025,33,VAS,JUV,1,3
2025,33,VIT,BOT,0,0
2025,34,BAH,FOR,2,3
2025,34,BOT,SPT,3,2
2025,34,CAM,PAL,,
2025,34,CEA,INT,1,2
2025,34,COR,SAO,3,1
2025,34,FLU,FLA,2,1
2025,34,GRE,VAS,2,0
2025,34,JUV,CRU,3,3
2025,34,RBB,VIT,,
2025,34,SAN,MIR,1,1
2025,35,BAH,VAS,1,0
2025,35,BOT,GRE,3,2
2025,35,CRU,COR,3,0
2025,35,FLA,RBB,3,0
2025,35,FOR,CAM,,
2025,35,INT,SAN,,
2025,35,MIR,CEA,2,0
2025,35,PAL,FLU,0,0
2025,35,SAO,JUV,2,1
2025,35,SPT,VIT,1,3
2025,36,CAM,FLA,,
2025,36,CEA,CRU,,
2025,36,COR,BOT,,
2025,36,FLU,SAO,,
2025,36,GRE,PAL,,
2025,36,JUV,BAH,,
2025,36,RBB,FOR,,
2025,36,SAN,SPT,,
2025,36,VAS,INT,,
2025,36,VIT,MIR,,
2025,37,BAH,SPT,,
2025,37,CRU,BOT,,
2025,37,FLA,CEA,,
2025,37,FOR,COR,,
2025,37,GRE,FLU,,
2025,37,JUV,SAN,,
2025,37,PAL,VIT,0,0
2025,37,RBB,CAM,2,0
2025,37,SAO,INT,,
2025,37,VAS,MIR,,
2025,38,BOT,FOR,,
2025,38,CAM,VAS,,
2025,38,CEA,PAL,,
2025,38,COR,JUV,,
2025,38,FLU,BAH,,
2025,38,INT,RBB,,
2025,38,MIR,FLA,,
2025,38,SAN,CRU,,
2025,38,SPT,GRE,,
2025,38,VIT,SAO,,
